TransactionID,Amount,TimeSinceLastTxn,NumTxnsLastHour,AvgAmountLastHour,IsInternational,DeviceType,Class
1,90029.90974591851,196.16173785585687,12,20306.500832221656,1,0,1
2,3686.0291756720862,13115.807214422757,3,766.3820523339812,0,1,0
3,1674.5591646043447,28964.208754165866,3,1138.5373021211246,0,0,0
4,1732.0942570102784,71534.20729875736,4,1445.4735075716076,0,1,0
5,41080.32171736128,165.61086217776744,6,60711.5667227369,0,1,1
6,880.3170137282617,47641.10046059642,0,1000.1887839093068,0,1,0
7,3131.6580689157468,55268.814325229556,1,2841.6835072816393,0,1,0
8,4735.775007209921,17242.078845154618,1,912.9204672723628,0,0,0
9,3366.63845060328,36399.36644967945,2,1900.1620304961964,0,0,0
10,2063.769758909286,55589.25101742316,4,621.2559334868666,0,0,0
11,216.30033166802266,29952.277578727066,3,295.25542677196023,0,0,0
12,1039.4868867755642,37189.25428743467,0,497.18347437091114,0,0,0
13,1978.5128978993177,4005.6637953622608,0,81.83602247752862,0,0,0
14,2064.5481515263223,36762.29749467714,0,1127.4189293641107,0,0,0
15,1874.9517811198348,11739.64678502754,3,1785.4403920329878,0,1,0
16,54266.407807126365,183.49408769752537,9,54043.84271379704,0,0,1
17,378.8558002111593,2835.895870782434,1,2780.6744526143434,0,1,0
18,1953.530824316805,12805.996472661209,3,2714.9526816343423,0,0,0
19,2667.934414923123,56919.74711809234,0,764.056256966229,0,0,0
20,566.0140381553705,48929.94029038169,4,2584.312677738679,0,0,0
21,465.3906553224509,29590.721137951747,4,2151.0490066881116,0,1,0
22,4177.6429229102505,64059.042091681986,1,1401.788600619619,0,0,0
23,1002.040299940622,55039.30595411291,3,185.97806600315846,0,0,0
24,2475.621636909367,60646.413271381294,4,2793.501866334505,0,0,0
25,3107.2765024292526,26019.0665856531,1,1238.5226349081045,0,0,0
26,2281.5369157155637,18156.16113347759,1,1019.4906080016577,0,1,0
27,3220.87467994065,5126.252258816942,0,699.4097963513418,0,0,0
28,2096.7971546348563,20013.15525555527,1,2311.770374748238,0,0,0
29,4788.675349143937,13426.832994923645,3,2577.658678510425,0,0,0
30,919.2900679583743,23209.279562788102,2,547.7855022982811,0,1,0
31,4982.52435665503,46473.60986693322,1,1497.0264232235154,0,1,0
32,3092.011311044254,71367.25664793048,3,603.0279681945524,0,1,0
33,1577.6085565491223,45230.181224535256,3,1365.551544790094,0,1,0
34,2549.6593015405924,46512.50554580845,0,886.1359157029219,0,1,0
35,1835.6936422805393,14533.146542573242,3,198.33486271068023,0,0,0
36,760.866584058897,44002.883124119784,1,1351.6001166373267,0,0,0
37,102.92740173574319,32678.20098544253,3,881.3687730122365,0,1,0
38,3416.757268166164,35553.612141164296,1,1925.9138975623832,0,0,0
39,2219.124260311445,10473.026692413501,1,513.0189711517196,0,1,0
40,4173.010397242594,51867.72595783673,0,344.4805302111107,0,0,0
41,2475.6434551507796,9373.898805836503,1,2431.7373825111727,0,0,0
42,4919.315804834625,68755.90488229253,0,460.4802493840133,0,0,0
43,4676.120175610749,21670.562374277863,3,2829.834641848421,0,0,0
44,111.3871347216764,37779.450332852335,1,2366.6809144101535,0,0,0
45,1214.1968192649801,63340.95725117968,0,2215.8791350719093,0,1,0
46,2137.654364198073,22422.90251251907,1,1585.2090558120883,0,0,0
47,853.2164337015577,71863.69716293743,1,1929.538078624779,0,1,0
48,70732.14058702317,36.140848744196894,18,45098.0448496304,1,0,1
49,191.12140882346952,60642.61501995221,1,1573.817166227048,0,0,0
50,2985.9445054598823,723.5604077593566,4,321.8242587624135,0,0,0
51,3869.851755419485,47303.463051082734,2,58.83415440553137,0,0,0
52,4004.3694373324247,23858.414250754915,1,142.9968727916868,0,1,0
53,2396.1073716160413,53433.35194522761,0,1136.1516223655187,0,0,0
54,2662.0314569189904,62311.6304178297,4,1517.3707444427466,0,0,0
55,1875.4527661198656,69692.37845977185,4,1096.7211954360162,0,1,0
56,115.35188863829038,24711.526133839307,1,454.67280510437166,0,1,0
57,3794.9438216443496,63616.89903403708,3,448.57108595142984,0,1,0
58,87159.09156633266,258.98242531693296,7,64755.01116367496,0,0,1
59,4126.15691077002,66542.88876766192,2,78.44617891189489,0,0,0
60,47947.437562613966,285.89244701487667,16,65287.81810710011,1,0,1
61,4511.635654992025,59737.9734969677,4,1139.2548318904119,0,0,0
62,2518.1256499282977,66429.6292393681,3,880.5110141690981,0,1,0
63,4546.669304869283,46389.171877696295,4,624.840758644443,0,0,0
64,2336.8641731902544,16389.454225114347,1,2468.6139541623575,0,1,0
65,12146.089416402772,86.27220243123723,10,50360.79089361395,1,1,1
66,259.4995764732903,29039.247373271555,4,1292.2242833465561,0,1,0
67,24316.264230674235,258.0496804656477,14,44345.55407737059,1,1,1
68,44458.143082202136,114.62555778959727,14,35705.71888373984,0,1,1
69,1303.2209168292604,2940.702116026669,2,1110.889947133919,0,0,0
70,3593.2276840778663,39616.191078435295,0,2435.1777548567525,0,0,0
71,1503.8157231129214,58029.45145183737,3,2478.85775762556,0,0,0
72,3691.1205007105996,50301.48915477171,0,1298.6530498876782,0,1,0
73,178.0013046147925,24710.980429833275,3,338.17052361544745,0,1,0
74,2714.6736302319555,56831.51679034246,1,609.7264254787381,0,1,0
75,14015.034741373143,276.4825036564282,17,16919.504713629038,0,1,1
76,4765.197731609761,26995.16872174787,1,2760.3697732465807,0,0,0
77,2307.0751018282645,53096.87947606224,0,1654.015205530561,0,0,0
78,595.8741798721107,35365.25267376598,3,138.16394992058832,0,0,0
79,3732.9476592745723,11841.85939939217,1,621.2854174179341,0,1,0
80,3517.825998306845,28065.871180036556,0,213.93492118270146,0,0,0
81,130.2430153516171,70263.87421437951,0,140.172695705316,0,0,0
82,2832.7145820518135,7604.140727121102,2,1413.4678643453565,0,0,0
83,4153.176505206604,38996.23887132934,2,2406.2109825975044,0,0,0
84,22571.62154242475,244.02790379655028,5,70887.25383257202,0,1,1
85,51317.35616855708,242.63212909098172,10,34643.568605260785,0,0,1
86,2515.984328105208,59471.051680657816,1,1953.8781200060537,0,1,0
87,3675.6349345882595,47249.96608991625,4,2227.755132387952,0,1,0
88,1537.996785689579,46160.10191247846,2,2828.179584873724,0,1,0
89,1808.95612668273,1341.329361495676,2,2881.464117261442,0,1,0
90,3792.7414950553,34394.52820536621,3,848.6369598147055,0,1,0
91,430.4692741630097,8990.682991827634,3,2339.5639001690715,0,1,0
92,2153.5597443903425,4310.115193494719,4,2221.7149977743948,0,0,0
93,93525.76387597137,88.59468049009917,15,31654.2953086242,0,0,1
94,2847.5493430381175,7893.314687506573,0,298.6480305298338,0,1,0
95,1561.4702691307768,9147.213118660427,3,1723.7940105048622,0,0,0
96,1341.2990805984662,39217.54995948342,3,1579.7283594154294,0,0,0
97,2882.9042025343315,60288.486800038634,3,348.4506085740355,0,1,0
98,1551.3825962442816,53350.23460340776,0,326.8415854595159,0,0,0
99,3824.484053017901,12291.451412149308,1,858.8358019139915,0,1,0
100,2205.9557117624886,11817.415119933807,3,1411.4844944510482,0,1,0
101,3918.7761087310905,3471.972077371035,3,83.80912023315939,0,0,0
102,2083.353151569777,17822.69973273843,1,162.25672799615754,0,0,0
103,32804.62919170856,157.57022792045538,10,22649.750512372324,1,0,1
104,1151.9847719362078,71627.54967509257,0,2297.520127163881,0,0,0
105,1830.559996633942,9711.79168717587,2,1520.4263235403319,0,1,0
